modelChain;SequenceHit;AlignmentScore;Identity;Positives;Coverage;fastaType
O;tr|A0A640KVN9|A0A640KVN9_LEITA;8.48324966430664;57.1;85.7;93.3;protein
P;tr|A0A640KH68|A0A640KH68_LEITA;4.978006362915039;62.5;87.5;80.0;protein
S;tr|A0A640KNR8|A0A640KNR8_LEITA;5.552396774291992;53.8;84.6;86.7;protein
V;tr|A0A640KX21|A0A640KX21_LEITA;4.788280010223389;66.7;88.9;81.8;protein
Y;tr|A0A640KJ33|A0A640KJ33_LEITA;106.90887451171875;76.8;88.4;90.8;protein
Z;tr|A0A640K7V4|A0A640K7V4_LEITA;6.088830947875977;66.7;73.3;88.2;protein
a;tr|A0A640K7R8|A0A640K7R8_LEITA;68.65039825439453;67.3;80.8;100.0;protein
h;tr|A0A640KJQ1|A0A640KJQ1_LEITA;4.954484462738037;55.6;100.0;69.2;protein
Ef;tr|A0A640KNZ5|A0A640KNZ5_LEITA;5.127980709075928;54.5;72.7;91.7;protein
Eg;tr|A0A640KIY5|A0A640KIY5_LEITA;21.764772415161133;57.1;76.2;100.0;protein
Ei;tr|A0A640KHR7|A0A640KHR7_LEITA;63.22119140625;67.3;83.7;96.1;protein
Ej;tr|A0A640L1T7|A0A640L1T7_LEITA;3.7240171432495117;44.4;100.0;81.8;protein
Ek;tr|A0A640KSG2|A0A640KSG2_LEITA;25.36831283569336;68.2;90.9;78.6;protein
El;tr|A0A640KSG2|A0A640KSG2_LEITA;55.0999870300293;56.0;74.0;98.0;protein
Em;tr|A0A640KXE8|A0A640KXE8_LEITA;6.819533348083496;63.6;72.7;84.6;protein
Ep;tr|A0A640KWP2|A0A640KWP2_LEITA;15.260833740234375;45.5;72.7;34.4;protein
Eq;tr|A0A640KG00|A0A640KG00_LEITA;114.63124084472656;57.1;83.3;100.0;protein
Er;tr|A0A640K890|A0A640K890_LEITA;85.68766021728516;57.3;74.7;93.8;protein
Es;tr|A0A640KHR7|A0A640KHR7_LEITA;129.53738403320312;69.9;81.9;98.8;protein
Et;tr|A0A640KRZ1|A0A640KRZ1_LEITA;8.048635482788086;46.7;66.7;32.6;protein
Ev;tr|A0A640KLU7|A0A640KLU7_LEITA;608.7323608398438;68.7;82.4;98.7;protein
Ey;tr|A0A640KSP6|A0A640KSP6_LEITA;5.865087032318115;70.0;90.0;76.9;protein
Ez;tr|A0A640KEK8|A0A640KEK8_LEITA;7.730847358703613;52.9;76.5;89.5;protein
E1;tr|A0A640KWP2|A0A640KWP2_LEITA;16.860231399536133;60.0;72.0;100.0;protein
E2;tr|A0A640KMK7|A0A640KMK7_LEITA;9.042228698730469;36.8;65.8;86.4;protein
E3;tr|A0A640KJI7|A0A640KJI7_LEITA;4.892762184143066;54.5;63.6;78.6;protein
E4;tr|A0A640KJ33|A0A640KJ33_LEITA;125.18327331542969;67.0;84.1;94.6;protein
E6;tr|A0A640KF99|A0A640KF99_LEITA;6.662236213684082;50.0;75.0;61.5;protein
E7;tr|A0A640KJQ9|A0A640KJQ9_LEITA;68.04187774658203;44.4;61.1;32.1;protein
FE;tr|A0A640K792|A0A640K792_LEITA;5.758227348327637;75.0;100.0;72.7;protein
FF;tr|A0A640KJQ9|A0A640KJQ9_LEITA;11.865523338317871;47.6;71.4;100.0;protein
FH;tr|A0A640KHW7|A0A640KHW7_LEITA;180.91592407226562;56.5;75.4;98.6;protein
FL;tr|A0A640KMN7|A0A640KMN7_LEITA;6.221429824829102;34.8;56.5;95.8;protein
FM;tr|A0A640KTT3|A0A640KTT3_LEITA;7.882632255554199;22.2;48.9;45.4;protein
FO;tr|A0A640K890|A0A640K890_LEITA;62.654266357421875;53.0;69.7;95.7;protein
FP;tr|A0A640K7R8|A0A640K7R8_LEITA;36.615211486816406;55.3;71.1;90.5;protein
FR;tr|A0A640KLT0|A0A640KLT0_LEITA;5.54697847366333;50.0;90.0;83.3;protein
FS;tr|A0A640KWP2|A0A640KWP2_LEITA;20.94040870666504;66.7;85.7;91.3;protein
FX;tr|A0A640KT10|A0A640KT10_LEITA;7.419973373413086;37.0;48.1;27.8;protein
Fd;tr|A0A640KRU7|A0A640KRU7_LEITA;7.869861602783203;75.0;75.0;61.5;protein
Fe;tr|A0A640KHN1|A0A640KHN1_LEITA;6.766360759735107;76.9;76.9;92.9;protein
Fi;tr|A0A640KES0|A0A640KES0_LEITA;23.251121520996094;50.0;75.0;30.8;protein
Fk;tr|A0A640K9U8|A0A640K9U8_LEITA;7.478626251220703;42.9;71.4;63.6;protein
Fy;tr|A0A640KHE9|A0A640KHE9_LEITA;49.77461242675781;56.9;76.5;86.4;protein
Fz;tr|A0A640KHE9|A0A640KHE9_LEITA;46.509700775146484;51.2;81.4;89.6;protein
F1;tr|A0A640KLI4|A0A640KLI4_LEITA;6.979977130889893;37.5;62.5;69.6;protein
F4;tr|A0A640KG55|A0A640KG55_LEITA;4.674108505249023;72.7;81.8;84.6;protein
F9;tr|A0A640KSU1|A0A640KSU1_LEITA;102.19132995605469;73.8;93.4;91.0;protein
GA;tr|A0A640KF32|A0A640KF32_LEITA;6.83132266998291;44.4;77.8;75.0;protein
GT;tr|A0A640KES0|A0A640KES0_LEITA;69.23804473876953;53.8;76.9;94.2;protein
