modelChain;NumberOfHits;SequenceHit;AlignmentScore;targetFastaNumber;fastaType
DZ;-;-;-;-;-
L;-;-;-;-;-
GD;-;-;-;-;-
CW;-;-;-;-;-
ET;-;-;-;-;-
AG;-;-;-;-;-
W;-;-;-;-;-
BY;-;-;-;-;-
FJ;-;-;-;-;-
EX;-;-;-;-;-
AK;-;-;-;-;-
D7;-;-;-;-;-
BU;-;-;-;-;-
FF;1;tr|A0A640KJQ9|A0A640KJQ9_LEITA;14.02254581451416;1;protein
DV;-;-;-;-;-
GH;-;-;-;-;-
BM;-;-;-;-;-
AS;-;-;-;-;-
F3;-;-;-;-;-
B6;-;-;-;-;-
GP;-;-;-;-;-
CC;-;-;-;-;-
DN;-;-;-;-;-
CO;-;-;-;-;-
y;-;-;-;-;-
DB;-;-;-;-;-
BA;-;-;-;-;-
FR;-;-;-;-;-
b;-;-;-;-;-
EL;-;-;-;-;-
Av;-;-;-;-;-
Ee;-;-;-;-;-
6;-;-;-;-;-
Bh;-;-;-;-;-
Dk;-;-;-;-;-
Cf;-;-;-;-;-
A9;-;-;-;-;-
Dg;-;-;-;-;-
F1;1;tr|A0A640KFS7|A0A640KFS7_LEITA;13.300740242004395;1;protein
B4;-;-;-;-;-
Cj;-;-;-;-;-
Az;-;-;-;-;-
Ei;1;tr|A0A640KHR7|A0A640KHR7_LEITA;124.15216827392578;1;protein
Fw;-;-;-;-;-
Bd;-;-;-;-;-
Cr;-;-;-;-;-
D5;-;-;-;-;-
Fo;-;-;-;-;-
Ab;-;-;-;-;-
Eq;1;tr|A0A640KG00|A0A640KG00_LEITA;200.0316619873047;1;protein
Fc;-;-;-;-;-
Bp;-;-;-;-;-
N;-;-;-;-;-
An;-;-;-;-;-
Ds;-;-;-;-;-
U;-;-;-;-;-
Ax;-;-;-;-;-
Ek;2;tr|A0A640KSG2|A0A640KSG2_LEITA;53.929752349853516;1;protein
Fu;-;-;-;-;-
Bf;-;-;-;-;-
D1;-;-;-;-;-
De;-;-;-;-;-
Ch;-;-;-;-;-
Di;-;-;-;-;-
Q;-;-;-;-;-
Cd;-;-;-;-;-
C9;-;-;-;-;-
At;-;-;-;-;-
Eg;1;tr|A0A640KIY5|A0A640KIY5_LEITA;22.934019088745117;1;protein
